Município,Branca,Parda,Nome_UF,id,Vencedor
Alta Floresta D'Oeste (RO),0.424278451951459,0.502992784519515,Rondônia,1100015,Parda
Ariquemes (RO),0.371467785316613,0.52591674322335,Rondônia,1100023,Parda
Cabixi (RO),0.466972913036591,0.445588468240139,Rondônia,1100031,Branca
Cacoal (RO),0.43258584264515,0.480311553440069,Rondônia,1100049,Parda
Cerejeiras (RO),0.458511950202596,0.465323859298843,Rondônia,1100056,Parda
Colorado do Oeste (RO),0.412941746006132,0.502877736539186,Rondônia,1100064,Parda
Corumbiara (RO),0.376408971877491,0.52453603552317,Rondônia,1100072,Parda
Costa Marques (RO),0.321318906272847,0.579105132329288,Rondônia,1100080,Parda
Espigão D'Oeste (RO),0.455637161056772,0.457029482404539,Rondônia,1100098,Parda
Guajará-Mirim (RO),0.214134818513539,0.600393700787402,Rondônia,1100106,Parda
Jaru (RO),0.328718392462263,0.576098452071916,Rondônia,1100114,Parda
Ji-Paraná (RO),0.396183860732356,0.514046822742475,Rondônia,1100122,Parda
Machadinho D'Oeste (RO),0.319993576361008,0.592420105990043,Rondônia,1100130,Parda
Nova Brasilândia D'Oeste (RO),0.413857300996277,0.5112206903492,Rondônia,1100148,Parda
Ouro Preto do Oeste (RO),0.367960345918583,0.539100400759333,Rondônia,1100155,Parda
Pimenta Bueno (RO),0.399207616344391,0.521908816746496,Rondônia,1100189,Parda
Porto Velho (RO),0.290292007778159,0.617768378001723,Rondônia,1100205,Parda
Presidente Médici (RO),0.389219947130248,0.550114252430664,Rondônia,1100254,Parda
Rio Crespo (RO),0.42189384800965,0.50211097708082,Rondônia,1100262,Parda
Rolim de Moura (RO),0.408564997630706,0.514018322539883,Rondônia,1100288,Parda
Santa Luzia D'Oeste (RO),0.378685572811164,0.543101507990097,Rondônia,1100296,Parda
Vilhena (RO),0.45479121282906,0.472795989606572,Rondônia,1100304,Parda
São Miguel do Guaporé (RO),0.38569726956203,0.531885651456844,Rondônia,1100320,Parda
Nova Mamoré (RO),0.279960968686241,0.63940388538987,Rondônia,1100338,Parda
Alvorada D'Oeste (RO),0.367709013232065,0.550821812140272,Rondônia,1100346,Parda
Alto Alegre dos Parecis (RO),0.367275280898876,0.547752808988764,Rondônia,1100379,Parda
Alto Paraíso (RO),0.367435074409104,0.538138313393639,Rondônia,1100403,Parda
Buritis (RO),0.370780965321311,0.546212518914245,Rondônia,1100452,Parda
Novo Horizonte do Oeste (RO),0.41357421875,0.50146484375,Rondônia,1100502,Parda
Cacaulândia (RO),0.328451882845188,0.542189679218968,Rondônia,1100601,Parda
Campo Novo de Rondônia (RO),0.332096328464272,0.545203316225819,Rondônia,1100700,Parda
Candeias do Jamari (RO),0.24450174427423,0.677840133474898,Rondônia,1100809,Parda
Castanheiras (RO),0.395524475524475,0.541538461538462,Rondônia,1100908,Parda
Chupinguaia (RO),0.326707625587279,0.581737140103602,Rondônia,1100924,Parda
Cujubim (RO),0.305601110129936,0.591901097514823,Rondônia,1100940,Parda
Governador Jorge Teixeira (RO),0.333523592085236,0.586187214611872,Rondônia,1101005,Parda
Itapuã do Oeste (RO),0.265935092225076,0.645342049964978,Rondônia,1101104,Parda
Ministro Andreazza (RO),0.447353168469861,0.484640649149923,Rondônia,1101203,Parda
Mirante da Serra (RO),0.386597070213841,0.532244485603637,Rondônia,1101302,Parda
Monte Negro (RO),0.336597828401107,0.591512312823788,Rondônia,1101401,Parda
Nova União (RO),0.341919124516215,0.583744828506606,Rondônia,1101435,Parda
Parecis (RO),0.450935550935551,0.460914760914761,Rondônia,1101450,Parda
Pimenteiras do Oeste (RO),0.358099352051836,0.436285097192225,Rondônia,1101468,Parda
Primavera de Rondônia (RO),0.444097616345062,0.470204313280363,Rondônia,1101476,Parda
São Felipe D'Oeste (RO),0.418079096045198,0.493353273512795,Rondônia,1101484,Parda
São Francisco do Guaporé (RO),0.368693483005925,0.556283130651699,Rondônia,1101492,Parda
Seringueiras (RO),0.409149539943245,0.495915383953908,Rondônia,1101500,Parda
Teixeirópolis (RO),0.338788870703764,0.559738134206219,Rondônia,1101559,Parda
Theobroma (RO),0.335336651328763,0.586533946849469,Rondônia,1101609,Parda
Urupá (RO),0.371820564205334,0.532603668876214,Rondônia,1101708,Parda
Vale do Anari (RO),0.292625745950554,0.613917306052856,Rondônia,1101757,Parda
Vale do Paraíso (RO),0.338124238733252,0.593909866017052,Rondônia,1101807,Parda
Acrelândia (AC),0.265433083426384,0.68535651619078,Acre,1200013,Parda
Assis Brasil (AC),0.251646903820817,0.599967061923584,Acre,1200054,Parda
Brasiléia (AC),0.25441630058884,0.650621553416207,Acre,1200104,Parda
Bujari (AC),0.21119112265376,0.696257820800378,Acre,1200138,Parda
Capixaba (AC),0.164128210957036,0.780518299613549,Acre,1200179,Parda
Cruzeiro do Sul (AC),0.252537990242908,0.670220489892621,Acre,1200203,Parda
Epitaciolândia (AC),0.214304635761589,0.702913907284768,Acre,1200252,Parda
Feijó (AC),0.293533259286684,0.535573244477354,Acre,1200302,Parda
Jordão (AC),0.151132735289646,0.451877755815721,Acre,1200328,Parda
Mâncio Lima (AC),0.143561751940024,0.722346442193871,Acre,1200336,Parda
Manoel Urbano (AC),0.160631499812054,0.736248590402205,Acre,1200344,Parda
Marechal Thaumaturgo (AC),0.147536374499192,0.644689674562452,Acre,1200351,Parda
Plácido de Castro (AC),0.238305537799988,0.652856063687605,Acre,1200385,Parda
Porto Walter (AC),0.260026155187445,0.605928509154316,Acre,1200393,Parda
Rio Branco (AC),0.261173242546708,0.659928100801724,Acre,1200401,Parda
Rodrigues Alves (AC),0.210230036833692,0.736743345611231,Acre,1200427,Parda
Santa Rosa do Purus (AC),0.165423150714133,0.274994670645918,Acre,1200435,Parda
Senador Guiomard (AC),0.18425095396204,0.732147281827643,Acre,1200450,Parda
Sena Madureira (AC),0.169554813431855,0.725709327092482,Acre,1200500,Parda
Tarauacá (AC),0.225625175611127,0.640292216914864,Acre,1200609,Parda
Xapuri (AC),0.18519669380399,0.691193835063079,Acre,1200708,Parda
Porto Acre (AC),0.206586021505376,0.740322580645161,Acre,1200807,Parda
Alvarães (AM),0.13060760931289,0.736868256672345,Amazonas,1300029,Parda
Amaturá (AM),0.0440477447977184,0.629027146931446,Amazonas,1300060,Parda
Anamã (AM),0.0895829253965146,0.879283336596828,Amazonas,1300086,Parda
Anori (AM),0.146166574738003,0.820187534473249,Amazonas,1300102,Parda
Apuí (AM),0.362136946742933,0.535847170544788,Amazonas,1300144,Parda
Atalaia do Norte (AM),0.0908071009041114,0.484392529532106,Amazonas,1300201,Parda
Autazes (AM),0.195643379492765,0.52126964369068,Amazonas,1300300,Parda
Barcelos (AM),0.0984913290302512,0.528462555408663,Amazonas,1300409,Parda
Barreirinha (AM),0.0869310912081886,0.712520562968379,Amazonas,1300508,Parda
Benjamin Constant (AM),0.0875160875160875,0.578222741013439,Amazonas,1300607,Parda
Beruri (AM),0.0931809376210771,0.853738860906625,Amazonas,1300631,Parda
Boa Vista do Ramos (AM),0.0982041524801389,0.86975098471193,Amazonas,1300680,Parda
Boca do Acre (AM),0.254570383912249,0.639853747714808,Amazonas,1300706,Parda
Borba (AM),0.114470409885301,0.691799433654644,Amazonas,1300805,Parda
Caapiranga (AM),0.124738041002278,0.84,Amazonas,1300839,Parda
Canutama (AM),0.19445752865442,0.7703721149317,Amazonas,1300904,Parda
Carauari (AM),0.223869015286723,0.688251726546132,Amazonas,1301001,Parda
Careiro (AM),0.19496547931814,0.685922893627421,Amazonas,1301100,Parda
Careiro da Várzea (AM),0.163142498955286,0.743209360635186,Amazonas,1301159,Parda
Coari (AM),0.150650308040651,0.762110999947343,Amazonas,1301209,Parda
Codajás (AM),0.12871671119538,0.818021201413428,Amazonas,1301308,Parda
Eirunepé (AM),0.248263492581119,0.633001793575738,Amazonas,1301407,Parda
Envira (AM),0.266066838046273,0.659933896437752,Amazonas,1301506,Parda
Fonte Boa (AM),0.107639041065872,0.822851382740939,Amazonas,1301605,Parda
Guajará (AM),0.172892514670102,0.784886217260627,Amazonas,1301654,Parda
Humaitá (AM),0.214484364754562,0.686006285753047,Amazonas,1301704,Parda
Ipixuna (AM),0.297744225757167,0.553203918396693,Amazonas,1301803,Parda
Iranduba (AM),0.179667001790049,0.774061450185135,Amazonas,1301852,Parda
Itacoatiara (AM),0.188534973168429,0.77332504203229,Amazonas,1301902,Parda
Itamarati (AM),0.149166459318238,0.705523762129883,Amazonas,1301951,Parda
Itapiranga (AM),0.191694068931921,0.780538302277433,Amazonas,1302009,Parda
Japurá (AM),0.132951132951133,0.631449631449631,Amazonas,1302108,Parda
Juruá (AM),0.17867061655249,0.712923532679133,Amazonas,1302207,Parda
Jutaí (AM),0.122943530457981,0.712761227212094,Amazonas,1302306,Parda
Lábrea (AM),0.206705392429909,0.659107185485796,Amazonas,1302405,Parda
Manacapuru (AM),0.169413091225144,0.788515521311706,Amazonas,1302504,Parda
Manaquiri (AM),0.154466909346081,0.752774001140301,Amazonas,1302553,Parda
Manaus (AM),0.265920277911887,0.678318655279382,Amazonas,1302603,Parda
Manicoré (AM),0.240125911904205,0.657655741540294,Amazonas,1302702,Parda
Maraã (AM),0.118781378366043,0.766830214513921,Amazonas,1302801,Parda
Maués (AM),0.119323837966154,0.748372769737346,Amazonas,1302900,Parda
Nhamundá (AM),0.076047707626655,0.870500054710581,Amazonas,1303007,Parda
